"Sottoarea","LATITUDINE","LONGITUDINE"
"Sottoarea_1",37.57251433333334,14.20335411764705
"Sottoarea_2",37.33710751515152,13.54329624242424
"Sottoarea_3",45.331017128571396,8.264631871428566
"Sottoarea_4",44.83720054450263,8.639266298429321
"Sottoarea_5",42.49907295757578,13.76170830909092
"Sottoarea_6",42.0110725,13.463006357142858
"Sottoarea_7",42.31675165116281,14.21819360465116
"Sottoarea_8",41.817024176470625,14.442909542986442
"Sottoarea_9",43.73349122826084,12.741713076086958
"Sottoarea_10",43.54901306249999,13.174615249999997
"Sottoarea_11",45.51633745454546,7.586007710227278
"Sottoarea_12",45.18163758974357,7.806423794871796
"Sottoarea_13",41.00475367391304,16.996119326086955
"Sottoarea_14",40.93301906666666,16.662051599999998
"Sottoarea_15",40.41825783018868,16.48057739622641
"Sottoarea_16",40.48805088461535,17.276615692307686
"Sottoarea_17",40.15105659374998,15.911561515624998
"Sottoarea_18",40.34985576428571,15.250505985714293
"Sottoarea_19",40.7242373797468,15.791302860759487
"Sottoarea_20",40.66676790909091,15.334526909090908
"Sottoarea_21",46.04522191758244,12.050274016483517
"Sottoarea_22",45.81711033333332,9.61259948148148
"Sottoarea_23",45.75019316216218,9.867977567567566
"Sottoarea_24",44.41300321666666,11.381436266666665
"Sottoarea_25",44.412898850000026,11.373446462500004
"Sottoarea_26",46.11339137671234,11.09523313013699
"Sottoarea_27",46.653002447204976,11.45089691304349
"Sottoarea_28",45.70454611278198,10.26234434586467
"Sottoarea_29",45.23421061073825,10.575079771812089
"Sottoarea_30",39.27515695535716,16.386525526785714
"Sottoarea_31",39.53816639766084,16.366389163742706
"Sottoarea_32",38.843669857142864,16.307407357142853
"Sottoarea_33",38.95201339393942,16.640021151515146
"Sottoarea_34",38.663797085365864,16.271710939024395
"Sottoarea_35",38.22294601459858,15.987427627737224
"Sottoarea_36",40.882474894736845,14.108125105263154
"Sottoarea_37",41.18018412149535,14.154335102803742
"Sottoarea_38",41.063207553571424,14.575168928571426
"Sottoarea_39",41.06680970270271,14.828060013513513
"Sottoarea_40",40.93182484732826,14.965025320610696
"Sottoarea_41",37.56527894999999,15.0828956
"Sottoarea_42",37.58012607228914,15.017858108433733
"Sottoarea_43",45.59330124242423,9.038145484848483
"Sottoarea_44",45.55204195652173,8.938110956521738
"Sottoarea_45",46.052279918032795,9.49078510655738
"Sottoarea_46",45.761975730158724,9.153925126984124
"Sottoarea_47",44.55935862841533,7.823977972677599
"Sottoarea_48",44.394367355932204,7.444985474576269
"Sottoarea_49",44.89743840186915,8.199256214953277
"Sottoarea_50",44.59497577011497,11.91913661494253
"Sottoarea_52",41.55185859459458,15.509951594594593
"Sottoarea_53",41.20635307692307,16.39459942307692
"Sottoarea_54",42.032671238095226,12.444501476190474
"Sottoarea_55",42.22671992982459,12.87787923391814
"Sottoarea_56",42.13321555555555,12.405970222222221
"Sottoarea_57",42.36844414379087,12.095775555555562
"Sottoarea_58",41.525132372549024,13.468052460784321
"Sottoarea_59",41.49052331249999,12.9057595625
"Sottoarea_60",41.6953395263158,12.756361431578945
"Sottoarea_61",44.31096960526322,9.529270730263159
"Sottoarea_62",44.15224227906979,8.177597744186048
"Sottoarea_63",44.526593451612904,8.942896612903224
"Sottoarea_64",43.11526675882359,13.457732276470596
"Sottoarea_65",43.48984292307693,13.51013546153846
"Sottoarea_66",45.53007871999999,9.416546080000002
"Sottoarea_67",45.27166117355372,9.956184892561993
"Sottoarea_68",38.16890584269665,15.005016404494388
"Sottoarea_69",38.05824965714285,15.357166071428573
"Sottoarea_70",45.460424444444435,9.195547777777778
"Sottoarea_71",45.48031483333334,9.1283765
"Sottoarea_72",45.455312666666664,9.185742999999999
"Sottoarea_73",45.395908000000006,9.183249099999998
"Sottoarea_74",45.42012742857143,8.985380600000001
"Sottoarea_75",45.26773892063488,9.51466503174603
"Sottoarea_76",45.11686114728686,9.068015914728685
"Sottoarea_77",45.50834842857142,9.246044214285714
"Sottoarea_78",45.51394,9.20192
"Sottoarea_79",45.48811549999999,9.20217675
"Sottoarea_80",44.66438294827587,10.987175982758622
