Sottoarea,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10
1,2,2,3,2,2,2,2,2,2,2
2,3,4,4,4,4,4,4,4,4,4
3,2,1,1,2,1,1,1,2,1,1
4,3,3,3,4,4,4,4,4,4,4
5,3,5,6,7,6,6,5,5,5,6
6,1,0,1,1,1,1,1,1,1,1
7,2,2,2,2,2,2,2,2,2,2
8,3,3,4,5,5,4,4,4,4,4
9,2,1,2,4,5,5,4,3,2,2
10,3,3,4,4,4,4,4,3,4,4
11,2,3,4,5,5,4,4,4,4,4
12,2,2,3,3,3,3,2,2,2,3
13,6,7,8,7,7,7,7,7,7,7
14,1,1,1,2,2,2,2,1,1,2
15,2,2,2,2,2,2,2,2,2,2
16,4,5,5,5,5,5,5,5,5,5
17,1,1,1,1,1,1,1,1,1,1
18,3,4,5,5,5,5,5,5,5,5
19,2,2,3,3,2,2,2,2,2,2
20,0,0,0,0,0,0,0,0,0,0
21,3,4,5,5,5,4,4,4,4,4
22,3,4,4,4,4,4,4,4,4,4
23,3,4,5,5,5,4,4,4,4,4
24,5,6,5,6,5,6,6,6,6,6
25,4,3,4,4,4,4,4,4,4,4
26,3,4,5,5,5,5,5,5,5,5
27,3,4,4,4,4,4,4,4,4,4
28,5,8,9,9,8,8,8,8,8,8
29,5,8,9,9,8,7,7,7,8,8
30,3,4,5,5,4,4,4,4,4,4
31,8,6,5,7,7,5,6,7,6,6
32,1,0,0,0,0,0,0,0,0,0
33,1,1,1,1,1,1,1,1,1,1
34,2,2,2,2,2,2,2,2,2,2
35,4,6,6,6,6,5,5,5,6,6
36,3,3,3,5,5,4,4,3,3,4
37,10,10,11,12,10,11,11,11,11,11
38,2,1,2,3,3,3,2,2,1,2
39,3,4,5,5,5,5,5,5,5,5
40,4,5,6,7,7,6,6,6,6,6
41,3,3,3,4,5,5,4,3,3,3
42,6,6,7,7,7,7,7,7,7,7
43,3,3,5,7,8,8,6,4,4,5
44,2,3,4,4,4,3,3,3,3,4
45,2,2,4,5,5,4,3,3,3,4
46,4,5,5,6,6,6,5,5,5,6
47,1,2,4,4,4,4,3,3,3,3
48,2,1,1,2,1,1,1,1,1,1
49,1,1,1,2,2,2,2,1,1,1
50,4,6,7,8,7,7,6,7,7,7
52,4,5,5,5,5,5,5,5,5,5
53,4,4,5,5,5,4,4,4,4,4
54,2,2,3,3,3,3,3,3,3,3
55,4,5,5,6,6,5,5,5,5,5
56,0,0,0,0,0,0,0,0,0,0
57,4,5,6,8,8,7,6,6,6,7
58,4,5,6,6,6,6,6,6,6,6
59,1,2,2,2,2,2,2,2,2,2
60,6,6,8,10,11,10,8,8,8,9
61,5,4,6,9,10,10,8,6,6,7
62,4,5,6,7,7,6,6,6,6,6
63,2,2,2,2,2,2,2,2,2,2
65,1,0,1,1,1,2,1,1,0,0
66,3,3,3,4,4,4,3,3,4,4
67,4,1,2,6,6,3,3,3,2,2
68,2,2,2,3,3,3,2,2,2,2
69,3,3,3,3,3,3,3,3,3,3
70,2,2,3,4,4,4,3,2,3,3
71,2,1,2,3,2,2,2,3,2,2
72,3,1,2,1,1,2,2,2,2,2
73,2,2,3,3,3,3,3,3,3,3
74,4,4,5,5,5,5,5,5,5,5
75,3,2,3,5,5,5,4,3,3,4
76,4,4,5,6,6,6,5,5,5,5
77,4,4,5,6,7,6,5,5,5,5
78,0,0,1,1,1,1,1,1,1,1
79,2,1,1,2,4,3,3,2,1,1
80,3,3,4,5,5,4,4,4,4,4
81,3,3,3,4,3,3,3,3,3,3
82,2,2,2,2,2,2,2,2,2,2
83,3,3,3,4,4,4,4,3,3,4
84,3,4,5,6,6,6,5,5,5,5
85,2,1,1,2,2,2,2,2,1,1
86,4,2,2,5,7,7,6,3,2,3
87,2,2,3,3,3,2,2,2,3,3
88,6,7,11,14,14,12,11,10,11,12
89,2,2,3,3,3,3,3,3,3,3
